measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
reciprocity,0.026286,0.009858,Global Network Measure,1.0,1.0,1.0
density,0.001713,0.006575,Global Network Measure,1.0,1.0,1.0
resolution,0.879167,0.5,Global Network Measure,1.0,1.0,1.0
modularity,0.592877,0.66591,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.901654368508417,0.8929090240219756,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.0013550107446292851,0.007939360933432954,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,2.148204318039849e-5,4.2176549831823914e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,5.027821691570006e-5,0.0021476131754146793,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,1.2060692457502384e-6,1.0227191574349938e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,5.3765700694770134e-6,2.6265563177304406e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,9.08500235681173e-8,3.7608889537941654e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,8.296905766823242e-7,6.050785050660772e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,1.1758901501415529e-6,7.0031391889602645e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,3.127367420589236e-10,6.065949925474459e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,7.192945067355242e-9,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,1.485499524779887e-8,2.2747312220529223e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,1.399496920713683e-7,1.568048055735147e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,2.65826230750085e-9,2.4263799701897836e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,2.6582623075008504e-9,5.762652429200736e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,7.81841855147309e-10,6.065949925474459e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,7.999999999999999,7.999999999999999,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
