node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
ColonizersoftheIndopacific,7,6,34.0,6,34.0,0,0.0,1.0,1.0,6,18,86,0.00011633875106929,1.0,0.7142857142857143,1.0,0.0007056524567504718,0.0,0.003065297975477616
ChineseBotTwitterAccount,7,9,18.0,9,18.0,0,0.0,1.0,1.0,9,11,98,6.159110350727117e-5,1.0,0.8,1.0,0.0003721151717281379,0.0,0.003493013972055888
ChinaIsAnEconomicColonialPower,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,47,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.0016752209865982322
USMC,7,23,164.0,22,162.0,1,2.0,0.9565217391304348,0.9878048780487805,12,32,129,0.0005611633875106929,0.4963768115942029,0.41304347826086957,0.6008869179600886,0.003371213518993832,0.0,0.0045979469632164245
StrongerTogether,7,18,230.0,17,202.0,1,28.0,0.9444444444444444,0.8782608695652174,13,41,129,0.0007869974337040205,0.7368421052631579,0.631578947368421,0.818925831202046,0.0029909510269741646,0.0,0.0045979469632164245
BetterTogether,7,3,6.0,3,6.0,0,0.0,1.0,1.0,3,3,29,2.0530367835757057e-5,1.0,0.5,1.0,0.00012367318594402876,0.0,0.001033646991730824
SafeguardingThePhilippines,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,47,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.0016752209865982322
StopChineseLandGrabs,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,47,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.0016752209865982322
PhilippinesUSA,7,3,6.0,3,6.0,0,0.0,1.0,1.0,3,3,29,2.0530367835757057e-5,1.0,0.5,1.0,0.00012367318594402876,0.0,0.001033646991730824
USSAbrahamLincoln,7,6,12.0,5,10.0,1,2.0,0.8333333333333334,0.8333333333333334,5,7,122,4.1060735671514114e-5,0.8095238095238095,0.5238095238095238,0.7333333333333333,0.0001080035200792806,0.0,0.004348445965212432
culture,4,2,4.0,2,4.0,0,0.0,1.0,1.0,2,2,3,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,0.00026864743204263464,0.0,0.000106928999144568
history,4,2,4.0,2,4.0,0,0.0,1.0,1.0,2,2,3,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,0.00026864743204263464,0.0,0.000106928999144568
SouthChinaSea,2,7,24.0,6,22.0,1,2.0,0.8571428571428571,0.9166666666666666,5,10,106,8.212147134302823e-5,0.7142857142857143,0.4642857142857143,0.6666666666666666,0.0004276438835330576,0.0,0.003778157969774736
NATO,8,8,34.0,7,26.0,1,8.0,0.875,0.7647058823529411,4,10,25,0.00011633875106929,0.5,0.2777777777777778,0.35294117647058826,0.0015529892185019989,0.0,0.0008910749928714001
DefMin,8,2,4.0,2,4.0,0,0.0,1.0,1.0,2,2,9,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,0.00026437393148487365,0.0,0.00032078699743370403
Duterte,8,4,8.0,4,8.0,0,0.0,1.0,1.0,4,5,9,2.737382378100941e-5,1.0,0.6,1.0,0.0005291039451095214,0.0,0.00032078699743370403
NATOSummit,8,5,14.0,5,14.0,0,0.0,1.0,1.0,4,6,9,4.790419161676647e-5,0.8,0.4666666666666667,0.7857142857142857,0.0009268676191456215,0.0,0.00032078699743370403
SINKEX,7,31,418.0,22,286.0,9,132.0,0.7096774193548387,0.6842105263157895,13,43,140,0.0014302822925577417,0.5181451612903226,0.45564516129032256,0.638755980861244,0.0009942279010707877,0.0,0.00499001996007984
SafetyFirst,7,6,12.0,3,6.0,3,6.0,0.5,0.5,6,8,122,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.0,0.00011709144200988675,0.004348445965212432
INDOPACOM,1,6,50.0,3,24.0,3,26.0,0.5,0.48,4,18,101,0.00017108639863130882,0.7142857142857143,0.42857142857142855,0.664,0.0006901692443980756,0.0,0.003599942971200456
PhilippineAirForce,1,4,32.0,3,24.0,1,8.0,0.75,0.75,4,17,100,0.00010949529512403764,1.0,0.6,1.0,0.0011871292356889218,0.0,0.0035642999714856002
USArmys,3,15,34.0,10,20.0,5,14.0,0.6666666666666666,0.5882352941176471,11,17,135,0.00011633875106929,0.6666666666666666,0.5416666666666666,0.6512605042016807,0.0008090006300811026,0.0,0.00481180496150556
BilateralExercise,3,12,52.0,8,40.0,4,12.0,0.6666666666666666,0.7692307692307693,6,19,130,0.00017792985457656116,0.6410256410256411,0.48717948717948717,0.7762237762237763,0.0020702450698256714,0.0,0.00463358996293128
ColonialismHasNoPlaceintheIndopacific,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
DilipSharma,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
ColonialPast,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,88,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.003136583974907328
ChinaVetoedTheExercise,3,6,12.0,4,8.0,2,4.0,0.6666666666666666,0.6666666666666666,6,8,91,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00036959897963406707,0.0,0.003243512974051896
Balikayan,7,8,16.0,8,16.0,0,0.0,1.0,1.0,8,10,88,5.474764756201882e-5,1.0,0.7777777777777778,1.0,0.00033060654129934974,0.0,0.003136583974907328
PhilippineNavy,7,17,242.0,15,202.0,2,40.0,0.8823529411764706,0.8347107438016529,13,42,129,0.0008280581693755347,0.8104575163398693,0.6993464052287581,0.8713842975206612,0.002537642287848807,0.0,0.0045979469632164245
USMarines,3,16,80.0,8,58.0,8,22.0,0.5,0.725,11,28,134,0.0002737382378100941,0.6544117647058824,0.5367647058823529,0.8216666666666667,0.002888169883851932,0.0,0.0047761619617907045
ModernandMultiCapable,7,15,224.0,14,196.0,1,28.0,0.9333333333333333,0.875,13,41,129,0.0007664670658682635,0.9166666666666666,0.7916666666666666,0.9681122448979592,0.0028549182575341447,0.0,0.0045979469632164245
TrucesDoNotGuaranteePeace,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
JayshreeBajoria,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
RajaMandiri,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
KamalikaGhatak,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
LiuZhen,7,14,28.0,12,24.0,2,4.0,0.8571428571428571,0.8571428571428571,14,16,121,9.580838323353294e-5,1.0,0.8666666666666667,1.0,0.00034521466215281515,0.0,0.004312802965497576
USArmyOutNow,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,89,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.0031722269746221844
JavelinLiveFireExercise,7,7,14.0,7,14.0,0,0.0,1.0,1.0,7,9,92,4.790419161676647e-5,1.0,0.75,1.0,0.00028913860145279857,0.0,0.0032791559737667523
SinkingReputationNoSinks,7,2,4.0,1,2.0,1,2.0,0.5,0.5,2,2,103,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,0.0,5.7136191769557865e-5,0.003671228970630168
ChengXiangMiao,8,6,24.0,2,8.0,4,16.0,0.3333333333333333,0.3333333333333333,6,14,103,8.212147134302823e-5,1.0,0.7142857142857143,1.0,0.00014507179700135042,0.0,0.003671228970630168
CGTN,5,3,12.0,3,12.0,0,0.0,1.0,1.0,3,8,4,4.1060735671514114e-5,1.0,0.5,1.0,0.0008047145212859985,0.0,0.00014257199885942402
ChinaGlobalTVNetwork,5,3,12.0,3,12.0,0,0.0,1.0,1.0,3,8,4,4.1060735671514114e-5,1.0,0.5,1.0,0.0008047145212859985,0.0,0.00014257199885942402
ChinaCambodiaRelations,5,3,12.0,3,12.0,0,0.0,1.0,1.0,3,8,4,4.1060735671514114e-5,1.0,0.5,1.0,0.0008047145212859985,0.0,0.00014257199885942402
Taiwan,9,6,1680.0,4,1120.0,2,560.0,0.6666666666666666,0.6666666666666666,6,54,106,0.005748502994011976,1.0,0.7142857142857143,1.0,0.0,0.005257673735091839,0.003778157969774736
GoldenDragon,8,6,24.0,2,8.0,4,16.0,0.3333333333333333,0.3333333333333333,6,14,103,8.212147134302823e-5,1.0,0.7142857142857143,1.0,0.00014507179700135042,0.0,0.003671228970630168
ROC,9,6,1680.0,4,1120.0,2,560.0,0.6666666666666666,0.6666666666666666,6,54,106,0.005748502994011976,1.0,0.7142857142857143,1.0,0.0,0.005257673735091839,0.003778157969774736
Russia,8,3,12.0,2,8.0,1,4.0,0.6666666666666666,0.6666666666666666,3,8,25,4.1060735671514114e-5,1.0,0.5,1.0,0.00044247570363159516,0.0,0.0008910749928714001
MultilateralismWorks,8,5,10.0,2,4.0,3,6.0,0.4,0.4,5,7,112,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.00015725588693127346,0.0,0.003992015968063872
