node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
1stMAW,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
MarineAircraft,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
CSARTE22,1,4,84.0,3,63.0,1,21.0,0.75,0.75,4,54,132,0.0005187586845761926,1.0,0.6,1.0,0.0,0.0013137017169377874,0.002022058823529412
USSAbrahamLincoln,1,1,31.0,1,31.0,0,0.0,1.0,1.0,1,34,132,0.00019144665740311871,1.0,0.0,0.0,0.0,3.3040155748675915e-5,0.002022058823529412
Military,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
ArcticSecurity,2,8,96.0,8,96.0,0,0.0,1.0,1.0,6,56,82,0.0005928670680870774,0.8055555555555556,0.5833333333333334,0.7991071428571429,0.0012139721651134305,0.0,0.0012561274509803922
Stronger_Together,2,8,96.0,8,96.0,0,0.0,1.0,1.0,6,56,82,0.0005928670680870774,0.8055555555555556,0.5833333333333334,0.7991071428571429,0.0012139721651134305,0.0,0.0012561274509803922
Assurance,2,12,128.0,11,114.0,1,14.0,0.9166666666666666,0.890625,6,57,167,0.0007904894241161031,0.6282051282051282,0.47435897435897434,0.6264204545454546,0.0006152735017709299,0.0,0.0025582107843137255
ImperyalismoIbagsak,8,12,77.0,12,77.0,0,0.0,1.0,1.0,5,37,25,0.0004755287941948433,0.358974358974359,0.20512820512820512,0.2550177095631641,0.0021085761700048167,0.0,0.0003829656862745098
NoToBalikatanExercises2022,8,1,2.0,1,2.0,0,0.0,1.0,1.0,1,2,13,1.2351397251814112e-5,1.0,0.0,0.0,5.408508086424124e-5,0.0,0.0001991421568627451
LumalakasLumalawakLumalaban,8,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002707871925509142,0.0,0.0003676470588235294
JoinAnakbayan,8,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002707871925509142,0.0,0.0003676470588235294
