measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
111D_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_tau,2.1877578318044586,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_density,0.9989194504955163,0.9992488167330774,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_density,0.0027284675865370434,0.0007199165900074703,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_density,2.186545747312075e-5,2.9015104783834064e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_density,3.291151788283137e-5,4.781689268375854e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_density,4.6239322645300275e-6,8.959864357247959e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_density,8.64342893892541e-6,5.013810106646527e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_density,1.6621978728702713e-7,7.27311959914774e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_density,1.3599800778029493e-7,3.71393341233076e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_density,1.919082998677495e-6,1.949815041473649e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_density,3.02217795067322e-8,1.0832305785964718e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_density,1.51108897533661e-8,3.5591861868169785e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_density,1.51108897533661e-8,1.0832305785964718e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_density,1.51108897533661e-8,1.2379778041102535e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_density,0.0,1.5474722551378168e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
k_core_in_0,0.5,0.048346,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_in_1,0.452446,0.153308,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_in_2,0.047554,0.170483,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_in_3,0.0,0.208651,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_in_4,0.0,0.419211,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_out_0,0.930707,0.877863,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_out_1,0.050272,0.010814,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_out_2,0.019022,0.013359,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_out_3,0.0,0.03626,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_out_4,0.0,0.038804,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_out_5,0.0,0.022901,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_1,0.46875,0.082697,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_2,0.217391,0.12659,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_3,0.088315,0.133588,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_4,0.047554,0.113232,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_5,0.0625,0.092239,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_6,0.039402,0.081425,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_7,0.019022,0.073791,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_8,0.019022,0.064885,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_9,0.038043,0.03944,K-Core Decomposition,0.06666666666666667,0.037037037037037035,1.0
k_core_undirected_10,0.0,0.040076,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_11,0.0,0.036896,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_12,0.0,0.034351,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_13,0.0,0.010814,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_14,0.0,0.046438,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_15,0.0,0.002545,K-Core Decomposition,0.0,0.037037037037037035,1.0
k_core_undirected_16,0.0,0.020992,K-Core Decomposition,0.0,0.037037037037037035,1.0
s_core_in_0.0,0.047554,0.028626,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_1.0,0.440217,0.085878,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_2.0,0.001359,0.001272,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_3.0,0.027174,0.131043,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_4.0,0.172554,0.007634,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_5.0,0.006793,0.141858,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_6.0,0.001359,0.000636,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
s_core_in_7.0,0.092391,0.001908,S-Core Decomposition,0.007462686567164179,0.0034965034965034965,1.0
