node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
92611744,8,2,69,71,2,41,43,0,28,28,2.0,82.0,84.0,2.0,46.0,48.0,0.0,36.0,36.0,1.0,0.5942028985507246,1.0,0.5609756097560976,0,0,5,3.0,20.0,37.0,3,456,481,0.0035836028319202865,8.7404947120007e-5,0.028985507246334804,0.024390243902409278,0.02112676056338028,0.007339813529061694,0.0,0.04966887417218543,0.0,0.011926111908177906,0.012585034013605442,0.025170068027210883,0.0,0.001071193884828519,0.01333333333333331,0.0008992805755395703,0.0,0.0022186853090181424,0.0002652970499629908,0.002228826151560178,0.3387815750371471
1601766740,35,0,1,1,0,1,1,0,0,0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,2.0,5.0,1,2,3,8.7404947120007e-5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005784311159680213,0.01333333333333334,0.0,0.00047490486743118066,0.0,1.6546593552785288e-6,0.0007429420505200594,0.0014858841010401188
78489442,27,0,6,6,0,6,6,0,0,0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,7.0,3.0,1,7,11,0.00026221484136002097,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135178781429,0.01333333333333334,0.0,0.0010567233717220237,0.0,6.067084302687939e-6,0.0007429420505200594,0.005200594353640416
2216405453,1,0,73,73,0,41,41,0,32,32,0.0,92.0,92.0,0.0,52.0,52.0,0.0,40.0,40.0,0.0,0.5616438356164384,0.0,0.5652173913043478,0,0,5,0.0,21.0,39.0,1,449,468,0.004020627567520321,0.0,0.0,0.0,0.02073306182895224,0.007318446237568024,0.0,0.0,0.0,0.007170893719806763,0.007170893719806763,0.014341787439613526,0.0,0.0008206135178781429,0.013333333333333319,0.0,0.0,0.012438577776735071,0.0002581268594234505,0.0007429420505200594,0.33358098068350667
269139570,9,0,1,1,0,1,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,1.0,1.0,1,2,2,4.37024735600035e-5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005856712695371166,0.01333333333333334,0.0,0.0002381171644837421,0.0,1.1031062368523526e-6,0.0007429420505200594,0.0014858841010401188
1487041979795980289,10,0,6,6,0,6,6,0,0,0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,9.0,10.0,1,7,8,0.000349619788480028,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135178781429,0.013333333333333338,0.0,0.001510867668978566,0.0,4.41242494740941e-6,0.0007429420505200594,0.005200594353640416
1478840722518282241,8,1,3,4,1,3,4,0,0,0,1.0,3.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,1.0,4.0,3.0,4,4,75,0.00013110742068001048,4.37024735600035e-5,0.3333333333222222,0.3333333333222222,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008336683835398523,0.01333333333333334,0.0008992805755395713,0.0007326643366142305,0.0,4.136648388196322e-5,0.0029717682020802376,0.0029717682020802376
1528726698,35,0,2,2,0,2,2,0,0,0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,2.0,3.0,1,3,4,8.7404947120007e-5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005784311159680213,0.01333333333333334,0.0,0.00047490486743118066,0.0,2.206212473704705e-6,0.0007429420505200594,0.002228826151560178
704224716626780160,11,0,1,1,0,1,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,1.0,1.0,1,2,2,4.37024735600035e-5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005856712709152858,0.01333333333333334,0.0,0.0002381171644837421,0.0,1.1031062368523526e-6,0.0007429420505200594,0.0014858841010401188
1511704288401059840,16,1,12,13,1,12,13,0,0,0,2.0,63.0,65.0,2.0,63.0,65.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,3.0,17.0,45.0,2,25,28,0.0027532558342802205,8.7404947120007e-5,0.08333333333263888,0.031746031745981354,0.09615384615384616,0.013888888888888888,0.0,0.3717948717948718,0.0,0.02813852813852814,0.04409857328145266,0.06013986013986014,0.5,0.0009294535039738633,0.01333333333333334,0.0008992805755395724,0.014380404119193835,0.0,1.5443487315932935e-5,0.0014858841010401188,0.018573551263001486
