node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
Assurance,2,12,128.0,9,78.0,3,50.0,0.75,0.609375,6,57,167,0.0007904894241161031,0.6282051282051282,0.47435897435897434,0.6264204545454546,0.0,0.001027248897410793,0.0025582107843137255
ImperyalismoIbagsak,3,12,77.0,12,77.0,0,0.0,1.0,1.0,5,37,25,0.0004755287941948433,0.358974358974359,0.20512820512820512,0.2550177095631641,0.0022216905408548593,0.0,0.0003829656862745098
NoToBalikatanExercises2022,3,1,2.0,1,2.0,0,0.0,1.0,1.0,1,2,13,1.2351397251814112e-5,1.0,0.0,0.0,5.701812649339111e-5,0.0,0.0001991421568627451
LumalakasLumalawakLumalaban,3,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002854550919748622,0.0,0.0003676470588235294
JoinAnakbayan,3,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002854550919748622,0.0,0.0003676470588235294
PinoyUK,3,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002854550919748622,0.0,0.0003676470588235294
Decolonisation,3,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002854550919748622,0.0,0.0003676470588235294
balikatan2022,1,24,82.0,14,32.0,10,50.0,0.5833333333333334,0.3902439024390244,5,45,73,0.0005064072873243785,0.20666666666666667,0.12666666666666668,0.1956521739130435,0.0,0.0014241649091585318,0.0011182598039215686
UnitedStates,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
CopeNorth22,10,4,10.0,4,10.0,0,0.0,1.0,1.0,3,11,132,6.175698625907056e-5,0.8,0.4,0.7333333333333333,0.0,6.522158483901475e-5,0.002022058823529412
Pacific,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
NavyPartnerships,10,8,93.0,6,81.0,2,12.0,0.75,0.8709677419354839,4,52,169,0.0005743399722093562,0.5555555555555556,0.3333333333333333,0.5360983102918587,0.0,0.0011770345165980078,0.002588848039215686
陸上自衛隊,4,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.004448563226909896,0.0,0.002022058823529412
India,10,3,11.0,1,9.0,2,2.0,0.3333333333333333,0.8181818181818182,2,14,151,6.793268488497761e-5,0.6666666666666666,0.16666666666666666,0.09090909090909091,0.0,0.00016620077621165574,0.0023131127450980392
MDXARB,10,4,108.0,4,108.0,0,0.0,1.0,1.0,4,63,167,0.000666975451597962,1.0,0.6,1.0,0.0,0.000704216105353872,0.0025582107843137255
自由で開かれたインド太平洋,10,3,7.0,3,7.0,0,0.0,1.0,1.0,3,10,132,4.322989038134939e-5,1.0,0.5,1.0,0.0,4.5655397929111885e-5,0.002022058823529412
日米友好,4,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.004448563226909896,0.0,0.002022058823529412
KordilyeraAgkaykaysa2022,7,4,78.0,4,78.0,0,0.0,1.0,1.0,4,53,14,0.00048170449282075036,1.0,0.6,1.0,0.0020613258282048408,0.0,0.0002144607843137255
USSMomsen,10,1,3.0,1,3.0,0,0.0,1.0,1.0,1,3,132,1.8527095877721168e-5,1.0,0.0,0.0,0.0,1.956676154457604e-5,0.002022058823529412
Soldiers,10,6,204.0,6,204.0,0,0.0,1.0,1.0,5,75,167,0.0012598425196850393,0.7619047619047619,0.47619047619047616,0.7107843137254902,0.0,0.001329743318428278,0.0025582107843137255
NavalPartnerships,10,1,4.0,1,4.0,0,0.0,1.0,1.0,1,4,132,2.4702794503628223e-5,1.0,0.0,0.0,0.0,2.608896159828067e-5,0.002022058823529412
StrategicDeterrence,2,12,98.0,10,78.0,2,20.0,0.8333333333333334,0.7959183673469388,6,55,167,0.0006052184653388915,0.5897435897435898,0.4358974358974359,0.5324675324675324,0.0006780591306834172,0.0,0.0025582107843137255
IPDF,2,7,50.0,5,40.0,2,10.0,0.7142857142857143,0.8,4,45,62,0.0003087849312953528,0.6785714285714286,0.42857142857142855,0.62,0.0005334783425943179,0.0,0.0009497549019607843
Security,3,16,41.0,9,18.0,7,23.0,0.5625,0.43902439024390244,9,23,66,0.00025320364366218927,0.47794117647058826,0.3602941176470588,0.4195121951219512,0.0,0.00035765714094415646,0.001011029411764706
BRAHMOS,1,2,2.0,1,1.0,1,1.0,0.5,0.5,2,2,26,1.2351397251814112e-5,1.0,0.3333333333333333,1.0,0.0,2.5059802447047197e-5,0.0003982843137254902
PhilippineMarineCorps,1,3,29.0,3,29.0,0,0.0,1.0,1.0,3,31,27,0.00017909526015130462,1.0,0.5,1.0,0.0008346112556154583,0.0,0.0004136029411764706
HIMARS,10,4,16.0,4,16.0,0,0.0,1.0,1.0,4,19,168,9.881117801451289e-5,1.0,0.6,1.0,0.0,0.00010435319146451238,0.002573529411764706
China,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
Asia,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
MonitorASEAN,3,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.00034265556123058705,0.0,0.00024509803921568627
ASEAN,3,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.00034265556123058705,0.0,0.00024509803921568627
specialeurasia,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
geopolitics,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
risk,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
Scarborough,3,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.00034265556123058705,0.0,0.00024509803921568627
NorthernViking22,2,5,84.0,4,68.0,1,16.0,0.8,0.8095238095238095,5,54,66,0.0005187586845761926,1.0,0.6666666666666666,1.0,0.000670156767968888,0.0,0.001011029411764706
3DMLR,10,10,23.0,4,17.0,6,6.0,0.4,0.7391304347826086,7,20,149,0.00014204106839586227,0.6909090909090909,0.509090909090909,0.5893719806763285,0.0,0.00043688472921799004,0.0022824754901960786
